WATERBODY ID,OFFICIAL NAME,COMMON NAME,LONG,LAT,ATS,SHIPMENT DATE,SPECIES,QUANTITY,STRAIN,GENOTYPE,AVG. LENGTH
6823,UNNAMED,ENCHANT POND,-112.432267,50.161135,NW8-14-18-W4,2017-04-26,RAINBOW TROUT,2039,TROUT LODGE/SILVER'S,AF3N,20.79
6825,UNNAMED,FAIRVIEW COLLEGE POND,-118.387234,56.0588,SW34-81-3-W6,2017-05-29,RAINBOW TROUT,500,LYNDON,AF2N,27.43
24364,UNNAMED,FIESTA LAKE,-114.726449,51.995874,NE12-35-6-W5,2017-05-16,RAINBOW TROUT,550,TROUT LODGE/SILVER'S,AF3N,18.44
6827,UNNAMED,FIGURE EIGHT LAKE,-117.906378,56.30153,NE20-84-25-W5,2017-06-05,RAINBOW TROUT,1800,TROUT LODGE/SILVER'S,AF3N,22.94
6827,UNNAMED,FIGURE EIGHT LAKE,-117.906378,56.30153,NE20-84-25-W5,2017-05-16,RAINBOW TROUT,7200,TROUT LODGE/KAMLOOPS,AF3N,14.12
6830,UNNAMED,FOOTNER POND,-117.156875,58.608147,SE5-111-19-W5,2017-05-24,RAINBOW TROUT,500,TROUT LODGE/SILVER'S,AF3N,21.56
6831,UNNAMED,FOREMOST RESERVOIR,-111.456691,49.477485,NW17-6-11-W4,2017-04-26,RAINBOW TROUT,1350,TROUT LODGE/SILVER'S,AF3N,20.79
6815,UNNAMED,FOX CREEK TROUT POND,-116.888798,54.45359,NW13-63-20-W5,2017-05-23,RAINBOW TROUT,500,LYNDON,AF2N,28.02
23292,UNNAMED,GENESEE TROUT POND,-114.309875,53.376492,NW1-51-3-W5,2017-05-29,RAINBOW TROUT,25,MOUNT LASSEN,2N,50
23292,UNNAMED,GENESEE TROUT POND,-114.309875,53.376492,NW1-51-3-W5,2017-10-02,RAINBOW TROUT,500,BEITTY RESORT,2N,
23292,UNNAMED,GENESEE TROUT POND,-114.309875,53.376492,NW1-51-3-W5,2017-05-29,RAINBOW TROUT,500,BEITTY RESORT,3N,20
6818,UNNAMED,GOLDSPRING PARK POND,-111.995479,49.095497,NE6-2-15-W4,2017-04-26,RAINBOW TROUT,680,TROUT LODGE/SILVER'S,AF3N,20.79
6818,UNNAMED,GOLDSPRING PARK POND,-111.995479,49.095497,NE6-2-15-W4,2017-04-26,RAINBOW TROUT,2071,TROUT LODGE,AF3N,17.2
6810,UNNAMED,GRANUM POND,-113.516665,49.870282,NW31-10-26-W4,2017-04-19,RAINBOW TROUT,306,TROUT LODGE/SILVER'S,AF3N,20.6
6806,UNNAMED,HANSEN'S RESERVOIR,-114.394522,52.297145,NE29-38-3-W5,2017-10-02,RAINBOW TROUT,1000,BEITTY RESORT,3N,20.3
6808,UNNAMED,HARLECK POND,-115.972609,52.494632,SE5-41-14-W5,2017-05-31,RAINBOW TROUT,300,BEITTY RESORT,3N,21.14
6808,UNNAMED,HARLECK POND,-115.972609,52.494632,SE5-41-14-W5,2017-05-31,RAINBOW TROUT,100,TROUT LODGE/SILVER'S,AF3N,22.8
6803,UNNAMED,HELMER RESERVOIR,-111.983108,51.649233,SW18-31-14-W4,2017-09-25,RAINBOW TROUT,5000,BEITTY RESORT,3N,
6803,UNNAMED,HELMER RESERVOIR,-111.983108,51.649233,SW18-31-14-W4,2017-04-20,RAINBOW TROUT,5000,TROUT LODGE,AF3N,16.6
6790,UNNAMED,HERITAGE LAKE,-113.66643,53.799728,NW33-55-25-W4,2017-05-02,BROOK TROUT,700,BEITTY RESORT,3N,19.49
6794,UNNAMED,HIGHWAY 40 POND,-118.782831,54.958674,SW12-69-6-W6,2017-06-01,RAINBOW TROUT,1000,LYNDON,AF2N,28.5
6668,UNNAMED,HIGHWAY 63 POND,-111.320447,56.588109,NE35-87-9-W4,2017-05-10,RAINBOW TROUT,1000,LYNDON,AF2N,27.34
6795,UNNAMED,HIGHWAY 686 POND,-116.954587,56.372419,NE17-85-19-W5,2017-05-24,RAINBOW TROUT,500,TROUT LODGE/SILVER'S,AF3N,21.56
6796,UNNAMED,HILLER'S RESERVOIR,-113.978521,51.739122,SE13-32-29-W4,2017-05-12,RAINBOW TROUT,6000,TROUT LODGE,AF3N,20.96
6780,UNNAMED,HUBER RESERVOIR,-111.732917,52.221611,SW36-37-13-W4,2017-04-20,RAINBOW TROUT,6000,TROUT LODGE,AF3N,16.6
6784,UNNAMED,INNISFREE TROUT POND,-111.629354,53.39796,SE13-51-12-W4,2017-05-07,RAINBOW TROUT,408,TROUT LODGE/SILVER'S,AF3N,22.37
6784,UNNAMED,INNISFREE TROUT POND,-111.629354,53.39796,SE13-51-12-W4,2017-05-07,BROOK TROUT,600,BEITTY RESORT,3N,19.49
6785,UNNAMED,IRMA FISH AND GAME POND,-111.236446,52.918593,SW34-45-9-W4,2017-05-07,BROOK TROUT,100,BEITTY RESORT,3N,19.49
6785,UNNAMED,IRMA FISH AND GAME POND,-111.236446,52.918593,SW34-45-9-W4,2017-05-07,RAINBOW TROUT,154,LYNDON,AF2N,27.66
6788,UNNAMED,JARVIS CREEK POND,-117.810057,53.508917,NE19-52-26-W5,2017-05-29,RAINBOW TROUT,700,TROUT LODGE/SILVER'S,AF3N,21.63
417476,UNNAMED,KEENEX TROUT POND,-113.208467,49.896607,NW10-11-24-W4,2017-04-19,RAINBOW TROUT,4000,TROUT LODGE/SILVER'S,AF3N,20.8
6770,UNNAMED,KERBE'S POND,-112.844594,52.112277,NE19-36-20-W4,2017-10-09,RAINBOW TROUT,500,TROUT LODGE,3N,
26447,UNNAMED,KIDS CAN CATCH POND,-114.017656,51.041403,SW13-24-1-W5,2017-05-06,RAINBOW TROUT,15,MOUNT LASSEN,2N,53.51
26447,UNNAMED,KIDS CAN CATCH POND,-114.017656,51.041403,SW13-24-1-W5,2017-05-30,RAINBOW TROUT,25,LYNDON,AF2N,25.73
26447,UNNAMED,KIDS CAN CATCH POND,-114.017656,51.041403,SW13-24-1-W5,2017-06-15,RAINBOW TROUT,26,LYNDON,AF2N,26.98
26447,UNNAMED,KIDS CAN CATCH POND,-114.017656,51.041403,SW13-24-1-W5,2017-05-06,RAINBOW TROUT,5,CAMPBELL LAKE,2N,53.51
26447,UNNAMED,KIDS CAN CATCH POND,-114.017656,51.041403,SW13-24-1-W5,2017-08-14,RAINBOW TROUT,25,LYNDON,AF2N,28
26447,UNNAMED,KIDS CAN CATCH POND,-114.017656,51.041403,SW13-24-1-W5,2017-05-13,RAINBOW TROUT,40,LYNDON,AF2N,25.73
6773,UNNAMED,KRAFT WIMBORNE POND,-113.620127,51.859122,SE28-33-26-W4,2017-05-18,BROOK TROUT,200,BEITTY RESORT,3N,21.7
6773,UNNAMED,KRAFT WIMBORNE POND,-113.620127,51.859122,SE28-33-26-W4,2017-05-18,RAINBOW TROUT,368,TROUT LODGE/SILVER'S,AF3N,18.5
6773,UNNAMED,KRAFT WIMBORNE POND,-113.620127,51.859122,SE28-33-26-W4,2017-05-18,RAINBOW TROUT,288,BEITTY RESORT,3N,21.7
6774,UNNAMED,KRAMER POND,-114.745933,52.906846,SW25-45-6-W5,2017-05-05,RAINBOW TROUT,5008,TROUT LODGE/SILVER'S,AF3N,18.6
20267,UNNAMED,LA CRETE POND,-115.906655,58.197347,SW15-106-12-W5,2017-05-24,RAINBOW TROUT,1500,TROUT LODGE/SILVER'S,AF3N,21.56
6776,UNNAMED,LACOMBE PARK POND,-113.653734,53.637547,NW5-54-25-W4,2017-06-05,RAINBOW TROUT,25,MOUNT LASSEN,2N,55
6776,UNNAMED,LACOMBE PARK POND,-113.653734,53.637547,NW5-54-25-W4,2017-05-19,RAINBOW TROUT,600,TROUT LODGE/SILVER'S,AF3N,21.93
6655,UNNAMED,LAMONT POND,-112.749283,53.775627,SW27-55-19-W4,2017-05-08,RAINBOW TROUT,843,TROUT LODGE/SILVER'S,AF3N,19.8
6655,UNNAMED,LAMONT POND,-112.749283,53.775627,SW27-55-19-W4,2017-05-08,BROOK TROUT,600,BEITTY RESORT,3N,19.49
24053,UNNAMED,LARA FISH POND,-110.61054,54.3089,NE25-61-5-W4,2017-05-06,RAINBOW TROUT,400,LYNDON,AF2N,27.66
24053,UNNAMED,LARA FISH POND,-110.61054,54.3089,NE25-61-5-W4,2017-10-04,RAINBOW TROUT,200,BEITTY RESORT,2N,19.41
6764,UNNAMED,LEDUC RESERVOIR,-113.567083,53.259984,NE27-49-25-W4,2017-05-11,RAINBOW TROUT,5000,CAMPBELL LAKE,2N,20.37
6767,UNNAMED,LITTLE BEAVERDAM LAKE,-113.655918,49.079532,SE34-1-28-W4,2017-05-31,BROOK TROUT,2500,BEITTY RESORT,3N,7.17
6658,UNNAMED,LOVETT LAKE,-116.706,53.041523,NW10-47-19-W5,2017-06-07,RAINBOW TROUT,1000,TROUT LODGE/KAMLOOPS,AF3N,15.86
6750,UNNAMED,MACHESIS LAKE,-116.585882,58.324911,NW27-107-16-W5,2017-05-24,RAINBOW TROUT,4000,TROUT LODGE/SILVER'S,AF3N,21.56
317719,UNNAMED,MAGRATH CHILDRENS POND,-112.864549,49.410488,SW26-5-22-W4,2017-04-27,RAINBOW TROUT,544,TROUT LODGE/SILVER'S,AF3N,20.75
19525,UNNAMED,MAYAN LAKE,-117.38983,53.902144,NW5-57-23-W5,2017-06-12,RAINBOW TROUT,2000,TROUT LODGE,AF3N,19.29
6753,UNNAMED,MCCLENNAN RESERVOIR,-116.919773,55.709784,SW32-77-19-W5,2017-05-23,RAINBOW TROUT,500,LYNDON,AF2N,27.56
6755,UNNAMED,MCLAREN'S RESERVOIR,-112.45129,51.840076,SW23-33-18-W4,2017-05-05,RAINBOW TROUT,12000,BEITTY RESORT,2N,10.4
6755,UNNAMED,MCLAREN'S RESERVOIR,-112.45129,51.840076,SW23-33-18-W4,2017-09-18,RAINBOW TROUT,5000,BEITTY RESORT,2N,
6757,UNNAMED,MCQUILLAN RESERVOIR,-112.45932,49.64707,SW13-8-19-W4,2017-04-27,RAINBOW TROUT,680,TROUT LODGE/SILVER'S,AF3N,20.75
6757,UNNAMED,MCQUILLAN RESERVOIR,-112.45932,49.64707,SW13-8-19-W4,2017-04-27,RAINBOW TROUT,4508,TROUT LODGE,AF3N,17.03
6758,UNNAMED,MCVINNIE RESERVOIR,-112.816726,50.035398,SW33-12-21-W4,2017-04-26,RAINBOW TROUT,2170,TROUT LODGE/SILVER'S,AF3N,20.79
6758,UNNAMED,MCVINNIE RESERVOIR,-112.816726,50.035398,SW33-12-21-W4,2017-04-26,RAINBOW TROUT,309,TROUT LODGE,AF3N,17.2
6721,UNNAMED,MD PEACE POND #1,-117.556197,56.222511,SW27-83-23-W5,2017-05-24,RAINBOW TROUT,1000,TROUT LODGE/SILVER'S,AF3N,21.56
22995,UNNAMED,MD PEACE POND #2,-117.553092,56.224205,SW27-83-23-W5,2017-05-24,RAINBOW TROUT,1000,TROUT LODGE/SILVER'S,AF3N,21.56
6642,UNNAMED,MILE 07 LAKE,-112.015324,55.021444,NE35-69-14-W4,2017-06-06,RAINBOW TROUT,2500,BEITTY RESORT,2N,21.54
6642,UNNAMED,MILE 07 LAKE,-112.015324,55.021444,NE35-69-14-W4,2017-06-06,RAINBOW TROUT,9500,TROUT LODGE/SILVER'S,AF3N,21.76
395196,UNNAMED,MITFORD PONDS,-114.49262,51.19005,SE4-26-4-W5,2017-04-18,BROWN TROUT,300,BOW RIVER,3N,19.01
395196,UNNAMED,MITFORD PONDS,-114.49262,51.19005,SE4-26-4-W5,2017-04-18,RAINBOW TROUT,305,TROUT LODGE,AF3N,16.5
395196,UNNAMED,MITFORD PONDS,-114.49262,51.19005,SE4-26-4-W5,2017-06-08,RAINBOW TROUT,200,TROUT LODGE/SILVER'S,AF3N,22.73
6736,UNNAMED,MORINVILLE FISH AND GAME POND,-113.658233,53.811848,NW4-56-25-W4,2017-09-25,RAINBOW TROUT,1000,BEITTY RESORT,3N,20.7
6736,UNNAMED,MORINVILLE FISH AND GAME POND,-113.658233,53.811848,NW4-56-25-W4,2017-05-02,RAINBOW TROUT,816,TROUT LODGE/SILVER'S,AF3N,22.37
6736,UNNAMED,MORINVILLE FISH AND GAME POND,-113.658233,53.811848,NW4-56-25-W4,2017-09-25,RAINBOW TROUT,3000,BEITTY RESORT,3N,
6736,UNNAMED,MORINVILLE FISH AND GAME POND,-113.658233,53.811848,NW4-56-25-W4,2017-05-02,BROWN TROUT,600,BOW RIVER,3N,19.33
6730,UNNAMED,MUSKOSEEPI POND,-118.806587,55.172657,SE26-71-6-W6,2017-06-01,RAINBOW TROUT,500,LYNDON,AF2N,27.71
6732,UNNAMED,NARDAM LAKE,-118.725502,55.762438,NE17-78-5-W6,2017-06-01,RAINBOW TROUT,500,LYNDON,AF2N,27.71
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,2017-03-29,BROOK TROUT,30,BEITTY RESORT,3N,26.24
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,2017-09-18,BROOK TROUT,53,BEITTY RESORT,2N,38.87
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,2017-09-25,BROWN TROUT,100,BOW RIVER,2N,39
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,2017-03-28,BROOK TROUT,399,BEITTY RESORT,2N,41
6647,UNNAMED,NITON LAKE,-115.725966,53.616078,SE32-53-12-W5,2017-05-10,RAINBOW TROUT,1500,LYNDON,AF2N,25.94
6914,UNNAMED,NORDEGG BORROW PIT (EAST),-116.122018,52.480398,SE32-40-15-W5,2017-05-29,RAINBOW TROUT,252,TROUT LODGE,AF3N,17.94
6914,UNNAMED,NORDEGG BORROW PIT (EAST),-116.122018,52.480398,SE32-40-15-W5,2017-05-29,RAINBOW TROUT,148,TROUT LODGE/SILVER'S,AF3N,22.15
6915,UNNAMED,NORDEGG BORROW PIT (WEST),-116.128512,52.484878,SW32-40-15-W5,2017-05-29,RAINBOW TROUT,185,TROUT LODGE/SILVER'S,AF3N,22.08
6915,UNNAMED,NORDEGG BORROW PIT (WEST),-116.128512,52.484878,SW32-40-15-W5,2017-05-29,RAINBOW TROUT,315,TROUT LODGE,AF3N,18.06
6724,UNNAMED,NUGGENT POND,-114.317013,52.791495,SE14-44-3-W5,2017-05-08,RAINBOW TROUT,500,LYNDON,AF2N,26.88
6724,UNNAMED,NUGGENT POND,-114.317013,52.791495,SE14-44-3-W5,2017-05-08,RAINBOW TROUT,500,TROUT LODGE/SILVER'S,AF3N,26.88
23789,UNNAMED,PIT 24,-116.714447,53.030531,NE4-47-19-W5,2017-06-07,RAINBOW TROUT,750,TROUT LODGE/KAMLOOPS,AF3N,15.86
23790,UNNAMED,PIT 35,-116.649313,52.992044,SW26-46-19-W5,2017-06-05,RAINBOW TROUT,390,TROUT LODGE/KAMLOOPS,AF3N,16.22
24312,UNNAMED,PIT 44,-116.653503,53.004695,SW35-46-19-W5,2017-06-05,RAINBOW TROUT,1100,TROUT LODGE/KAMLOOPS,AF3N,16.22
23791,UNNAMED,PIT 45,-116.645687,52.992815,SE26-46-19-W5,2017-06-05,RAINBOW TROUT,1100,TROUT LODGE/KAMLOOPS,AF3N,16.22
6706,UNNAMED,PLEASURE ISLAND RESERVOIR,-112.729392,52.979766,SW20-46-19-W4,2017-05-01,RAINBOW TROUT,487,TROUT LODGE,AF3N,17.06
6706,UNNAMED,PLEASURE ISLAND RESERVOIR,-112.729392,52.979766,SW20-46-19-W4,2017-05-01,BROOK TROUT,930,BEITTY RESORT,3N,19.49
6706,UNNAMED,PLEASURE ISLAND RESERVOIR,-112.729392,52.979766,SW20-46-19-W4,2017-05-01,BROWN TROUT,1000,BOW RIVER,3N,19.33
6706,UNNAMED,PLEASURE ISLAND RESERVOIR,-112.729392,52.979766,SW20-46-19-W4,2017-10-09,RAINBOW TROUT,1000,BEITTY RESORT,3N,21.5
26047,UNNAMED,RADWAY FISH POND,-112.95596,54.056793,SE31-58-20-W4,2017-10-19,RAINBOW TROUT,1000,BEITTY RESORT,3N,25.1
6705,UNNAMED,RAINBOW LAKE POND,-119.349303,58.495385,NE25-109-9-W6,2017-05-24,RAINBOW TROUT,500,TROUT LODGE/SILVER'S,AF3N,21.56
22504,UNNAMED,RIVERSTONE POND,-112.863787,49.659849,SW24-8-22-W4,2017-04-26,RAINBOW TROUT,1000,TROUT LODGE/SILVER'S,AF3N,20.79
22504,UNNAMED,RIVERSTONE POND,-112.863787,49.659849,SW24-8-22-W4,2017-10-02,RAINBOW TROUT,1000,BEITTY RESORT,3N,20.9
22504,UNNAMED,RIVERSTONE POND,-112.863787,49.659849,SW24-8-22-W4,2017-09-18,RAINBOW TROUT,800,BEITTY RESORT,3N,31.92
22504,UNNAMED,RIVERSTONE POND,-112.863787,49.659849,SW24-8-22-W4,2017-10-02,CUTTHROAT TROUT,1000,JOB LAKE,2N,18
22504,UNNAMED,RIVERSTONE POND,-112.863787,49.659849,SW24-8-22-W4,2017-04-04,RAINBOW TROUT,1000,BEITTY RESORT,3N,22.25
6697,UNNAMED,SEVERN CREEK RESERVOIR,-112.955705,51.208304,NW12-26-22-W4,2017-05-05,RAINBOW TROUT,20000,BEITTY RESORT,2N,10.4
328085,UNNAMED,SHELL TRUE NORTH POND,-119.167595,55.829544,SW10-79-8-W6,2017-06-01,BROOK TROUT,640,BEITTY RESORT,3N,20.53
6699,UNNAMED,SHEMELUK LAKE,-112.423089,54.212986,SW25-60-17-W4,2017-05-23,RAINBOW TROUT,6000,TROUT LODGE,AF3N,17.32
6688,UNNAMED,SHUSTER LAKE,-110.609119,52.740747,NE26-43-5-W4,2017-06-03,BROOK TROUT,10000,BEITTY RESORT,3N,20.33
6651,UNNAMED,SILKSTONE LAKE,-116.717434,53.0436,NE9-47-19-W5,2017-06-07,RAINBOW TROUT,1300,TROUT LODGE,AF3N,16.99
6692,UNNAMED,SPRING COULEE PARK POND,-113.108558,49.372404,NE12-5-24-W4,2017-04-27,RAINBOW TROUT,3000,TROUT LODGE,AF3N,17.03
6693,UNNAMED,SPRING LAKE,-119.583801,55.513162,NE23-75-11-W6,2017-05-17,RAINBOW TROUT,4074,TROUT LODGE,AF3N,21.21
6693,UNNAMED,SPRING LAKE,-119.583801,55.513162,NE23-75-11-W6,2017-05-17,RAINBOW TROUT,5926,TROUT LODGE/SILVER'S,AF3N,20.25
24702,UNNAMED,ST. PAUL FISH POND,-111.2685,53.9954,SE9-58-9-W4,2017-09-19,RAINBOW TROUT,900,LYNDON,AF2N,31.23
24702,UNNAMED,ST. PAUL FISH POND,-111.2685,53.9954,SE9-58-9-W4,2017-05-06,RAINBOW TROUT,1800,LYNDON,AF2N,23.67
6682,UNNAMED,STIRLING CHILDREN'S POND,-112.5376,49.500793,SW29-6-19-W4,2017-04-27,RAINBOW TROUT,830,TROUT LODGE/SILVER'S,AF3N,20.75
6686,UNNAMED,STRATHMORE CHILDREN'S POND,-113.390752,51.041855,SW14-24-25-W4,2017-05-03,RAINBOW TROUT,1300,TROUT LODGE/SILVER'S,AF3N,20.7
6635,UNNAMED,TAMARACK LAKE,-115.71791,54.702083,NE10-66-12-W5,2017-10-09,BROOK TROUT,3500,BEITTY RESORT,3N,
6635,UNNAMED,TAMARACK LAKE,-115.71791,54.702083,NE10-66-12-W5,2017-10-09,RAINBOW TROUT,8000,TROUT LODGE/SILVER'S,AF3N,
6674,UNNAMED,TELEGRAPH PARK POND,-113.044262,53.188646,NW32-48-21-W4,2017-10-09,RAINBOW TROUT,1000,BEITTY RESORT,3N,21.5
6636,UNNAMED,TEXACO EAST POND,-111.191296,56.637029,NW15-88-8-W4,2017-09-28,RAINBOW TROUT,2700,BEITTY RESORT,2N,23.33
6637,UNNAMED,TEXACO POND,-111.248523,56.639271,SW20-88-8-W4,2017-05-10,RAINBOW TROUT,1500,LYNDON,AF2N,27.15
6618,UNNAMED,VALLEYVIEW CHILDREN'S POND,-117.284529,55.076591,NE21-70-22-W5,2017-05-23,RAINBOW TROUT,500,LYNDON,AF2N,28.02
6620,UNNAMED,VEGREVILLE TROUT POND,-112.05988,53.474312,SW7-52-14-W4,2017-09-25,RAINBOW TROUT,5000,BEITTY RESORT,2N,
6620,UNNAMED,VEGREVILLE TROUT POND,-112.05988,53.474312,SW7-52-14-W4,2017-09-25,RAINBOW TROUT,2500,TROUT LODGE/SILVER'S,AF3N,
6620,UNNAMED,VEGREVILLE TROUT POND,-112.05988,53.474312,SW7-52-14-W4,2017-09-26,RAINBOW TROUT,600,LYNDON,AF2N,31.83
6620,UNNAMED,VEGREVILLE TROUT POND,-112.05988,53.474312,SW7-52-14-W4,2017-05-16,RAINBOW TROUT,10000,TROUT LODGE/SILVER'S,AF3N,21.63
6609,UNNAMED,WEBERVILLE POND,-117.311159,56.360995,NW7-85-21-W5,2017-05-24,RAINBOW TROUT,1000,TROUT LODGE/SILVER'S,AF3N,22.49
18019,UNNAMED,WETASKIWIN POND,-113.353311,52.987222,NE24-46-24-W4,2017-05-18,RAINBOW TROUT,201,TROUT LODGE/SILVER'S,AF3N,18.6
18019,UNNAMED,WETASKIWIN POND,-113.353311,52.987222,NE24-46-24-W4,2017-05-18,BROOK TROUT,220,BEITTY RESORT,3N,22.5
21137,UNNAMED,WHITECOURT TOWN POND,-115.685342,54.149158,NE35-59-12-W5,2017-05-17,RAINBOW TROUT,1500,LYNDON,AF2N,29.56
6625,UNNAMED,WILDWOOD POND,-115.318904,53.601291,SW30-53-9-W5,2017-05-06,RAINBOW TROUT,1500,TROUT LODGE/SILVER'S,AF3N,22.25
6617,UNNAMED,WINCHELL LAKE,-114.609375,51.454862,NW2-29-5-W5,2017-05-10,RAINBOW TROUT,225,TROUT LODGE/KAMLOOPS,AF3N,28.5
6617,UNNAMED,WINCHELL LAKE,-114.609375,51.454862,NW2-29-5-W5,2017-05-08,RAINBOW TROUT,5512,TROUT LODGE/SILVER'S,AF3N,18.5
6626,UNNAMED,WOLF CREEK POND,-116.2285,53.574507,SW13-53-16-W5,2017-05-10,RAINBOW TROUT,750,TROUT LODGE/SILVER'S,AF3N,21.5
6598,UNNAMED,ZAMA COMMUNITY POND,-118.681101,59.161004,SW18-117-4-W6,2017-05-24,RAINBOW TROUT,500,TROUT LODGE/SILVER'S,AF3N,21.56
6061,UPPER KANANASKIS LAKE,,-115.15,50.625,NW23-19-9-W5,2017-09-11,CUTTHROAT TROUT,10027,0,2N,
6086,VICTOR LAKE,,-119.090207,53.882014,SW35-56-8-W6,2017-06-12,RAINBOW TROUT,1027,TROUT LODGE/KAMLOOPS,AF3N,19.1
6086,VICTOR LAKE,,-119.090207,53.882014,SW35-56-8-W6,2017-06-12,RAINBOW TROUT,7685,TROUT LODGE/KAMLOOPS,AF3N,17.1
6086,VICTOR LAKE,,-119.090207,53.882014,SW35-56-8-W6,2017-06-12,RAINBOW TROUT,6288,TROUT LODGE/KAMLOOPS,AF3N,15.6
26854,WEST RIVERS EDGE POND,FORT LIONS PARK POND,-113.274136,53.683219,NE23-54-23-W4,2017-05-30,RAINBOW TROUT,1000,TROUT LODGE/SILVER'S,AF3N,22.2
26033,WHITERIDGE RECREATION AREA POND,BLUERIDGE PIT,-115.364319,54.15613,SW1-60-10-W5,2017-05-17,RAINBOW TROUT,2100,TROUT LODGE/SILVER'S,AF3N,20.39
6537,WILDHORSE LAKES,LOWER WILDHORSE LAKE,-117.792759,53.269491,SW31-49-26-W5,2017-05-18,RAINBOW TROUT,7500,TROUT LODGE,AF3N,16.42
6160,WILDHORSE LAKES,UPPER WILDHORSE LAKE,-117.80152,53.271338,SW31-49-26-W5,2017-05-30,BROOK TROUT,2500,BEITTY RESORT,3N,7.34
6601,YELLOWHEAD LAKE,,-114.802334,51.957774,SW33-34-6-W5,2017-06-21,BROOK TROUT,8700,BEITTY RESORT,3N,8.06
